Chapter,Section,Subsection,Subsubsection,Chapter Filecase,Section Filecase,Subsection Filecase,Subsubsection Filecase,Lesson Plan Path,Step By Step Guide Path,Lesson Plan Exists,Step By Step Guide Exists,LO 1,LO 2,LO 3,LO 4,Course URL
Numbers and Algebra,Real Numbers,Classification of Numbers,Even and Odd Numbers,numbers-and-algebra,real-numbers,classification-of-numbers,even-and-odd-numbers,numbers-and-algebra/real-numbers/even-and-odd-numbers.pdf,numbers-and-algebra/real-numbers/step-by-step-guide_even-and-odd-numbers.pdf,YES,YES,"Classify whole numbers as odd, even, prime and composite in different situations",,,,https://ecampus.idems.international/course/view.php?id=571
Numbers and Algebra,Real Numbers,Classification of Numbers,Prime and Composite Numbers,numbers-and-algebra,real-numbers,classification-of-numbers,prime-and-composite-numbers,numbers-and-algebra/real-numbers/prime-and-composite-numbers.pdf,numbers-and-algebra/real-numbers/step-by-step-guide_prime-and-composite-numbers.pdf,YES,YES,"Classify whole numbers as odd, even, prime and composite in different situations",,,,https://ecampus.idems.international/course/view.php?id=571
Numbers and Algebra,Real Numbers,Classification of Numbers,Rational and Irrational Numbers,numbers-and-algebra,real-numbers,classification-of-numbers,rational-and-irrational-numbers,numbers-and-algebra/real-numbers/rational-and-irrational-numbers.pdf,numbers-and-algebra/real-numbers/step-by-step-guide_rational-and-irrational-numbers.pdf,YES,YES,Classify real numbers as rational and irrational in different situations,,,,https://ecampus.idems.international/course/view.php?id=571
Numbers and Algebra,Real Numbers,Reciprocals of Numbers,Reciprocals using Division,numbers-and-algebra,real-numbers,reciprocals-of-numbers,reciprocals-using-division,numbers-and-algebra/real-numbers/reciprocals-using-division.pdf,numbers-and-algebra/real-numbers/step-by-step-guide_reciprocals-using-division.pdf,YES,YES,Determine the reciprocal of real numbers by division,,,,https://ecampus.idems.international/course/view.php?id=571
Numbers and Algebra,Real Numbers,Reciprocals of Numbers,Reciprocals Using Tables and Calculators,numbers-and-algebra,real-numbers,reciprocals-of-numbers,reciprocals-using-tables-and-calculators,numbers-and-algebra/real-numbers/reciprocals-using-tables-and-calculators.pdf,numbers-and-algebra/real-numbers/step-by-step-guide_reciprocals-using-tables-and-calculators.pdf,YES,YES,Determine the reciprocal of real numbers by use of mathematical tables and calculators,,,,https://ecampus.idems.international/course/view.php?id=571
Numbers and Algebra,Real Numbers,Reciprocals of Numbers,Using Reciprocals,numbers-and-algebra,real-numbers,reciprocals-of-numbers,using-reciprocals,numbers-and-algebra/real-numbers/using-reciprocals.pdf,numbers-and-algebra/real-numbers/step-by-step-guide_using-reciprocals.pdf,YES,YES,Apply reciprocal of real numbers in mathematical computations,Promote the use of real numbers in day-to-day activities,,,https://ecampus.idems.international/course/view.php?id=571
Numbers and Algebra,Indices and Logarithms,Indices,Introduction to Indices,numbers-and-algebra,indices-and-logarithms,indices,introduction-to-indices,numbers-and-algebra/indices-and-logarithms/introduction-to-indices.pdf,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_introduction-to-indices.pdf,YES,YES,Express numbers in index form,,,,https://ecampus.idems.international/course/view.php?id=573
Numbers and Algebra,Indices and Logarithms,Indices,Laws of Indices,numbers-and-algebra,indices-and-logarithms,indices,laws-of-indices,numbers-and-algebra/indices-and-logarithms/laws-of-indices.pdf,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_laws-of-indices.pdf,YES,YES,Derive the laws of indices using factors,,,,https://ecampus.idems.international/course/view.php?id=573
Numbers and Algebra,Indices and Logarithms,Indices,Zero and Negative Indices,numbers-and-algebra,indices-and-logarithms,indices,zero-and-negative-indices,numbers-and-algebra/indices-and-logarithms/zero-and-negative-indices.pdf,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_zero-and-negative-indices.pdf,YES,YES,Derive the laws of indices using factors,,,,https://ecampus.idems.international/course/view.php?id=573
Numbers and Algebra,Indices and Logarithms,Indices,Indices in Real-Life,numbers-and-algebra,indices-and-logarithms,indices,indices-in-real-life,numbers-and-algebra/indices-and-logarithms/indices-in-real-life.pdf,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_indices-in-real-life.pdf,YES,YES,Apply the laws of indices in different situations,,,,https://ecampus.idems.international/course/view.php?id=573
Numbers and Algebra,Indices and Logarithms,Logarithms,Introduction to Logarithms,numbers-and-algebra,indices-and-logarithms,logarithms,introduction-to-logarithms,numbers-and-algebra/indices-and-logarithms/introduction-to-logarithms.pdf,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_introduction-to-logarithms.pdf,YES,YES,Relate index notation to logarithm notation to base 10,,,,https://ecampus.idems.international/course/view.php?id=573
Numbers and Algebra,Indices and Logarithms,Logarithms,Finding Logarithms Using Tables and Calculators,numbers-and-algebra,indices-and-logarithms,logarithms,finding-logarithms-using-tables-and-calculators,numbers-and-algebra/indices-and-logarithms/finding-logarithms-using-tables-and-calculators.pdf,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_finding-logarithms-using-tables-and-calculators.pdf,YES,YES,Determine common logarithms of numbers from mathematical tables and calculators,,,,https://ecampus.idems.international/course/view.php?id=573
Numbers and Algebra,Indices and Logarithms,Logarithms,Antilogarithms,numbers-and-algebra,indices-and-logarithms,logarithms,antilogarithms,numbers-and-algebra/indices-and-logarithms/antilogarithms.pdf,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_antilogarithms.pdf,YES,YES,Determine common logarithms of numbers from mathematical tables and calculators,,,,https://ecampus.idems.international/course/view.php?id=573
Numbers and Algebra,Indices and Logarithms,Logarithms,Logarithms of Products and Ratios,numbers-and-algebra,indices-and-logarithms,logarithms,logarithms-of-products-and-ratios,numbers-and-algebra/indices-and-logarithms/logarithms-of-products-and-ratios.pdf,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_logarithms-of-products-and-ratios.pdf,YES,YES,"Apply common logarithms in multiplication, division, powers and roots of numbers",,,,https://ecampus.idems.international/course/view.php?id=573
Numbers and Algebra,Indices and Logarithms,Logarithms,Using logarithms to compute Products and Ratios,numbers-and-algebra,indices-and-logarithms,logarithms,using-logarithms-to-compute-products-and-ratios,numbers-and-algebra/indices-and-logarithms/using-logarithms-to-compute-products-and-ratios.pdf,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_using-logarithms-to-compute-products-and-ratios.pdf,YES,YES,"Apply common logarithms in multiplication, division, powers and roots of numbers",,,,https://ecampus.idems.international/course/view.php?id=573
Numbers and Algebra,Indices and Logarithms,Logarithms,Logarithms of Powers and Roots,numbers-and-algebra,indices-and-logarithms,logarithms,logarithms-of-powers-and-roots,numbers-and-algebra/indices-and-logarithms/logarithms-of-powers-and-roots.pdf,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_logarithms-of-powers-and-roots.pdf,NO,NO,Appreciate the use of indices and common logarithms in mathematical computations,,,,https://ecampus.idems.international/course/view.php?id=573
Numbers and Algebra,Indices and Logarithms,Logarithms,Logarithms in Real-Life,numbers-and-algebra,indices-and-logarithms,logarithms,logarithms-in-real-life,numbers-and-algebra/indices-and-logarithms/logarithms-in-real-life.pdf,numbers-and-algebra/indices-and-logarithms/step-by-step-guide_logarithms-in-real-life.pdf,YES,YES,Form quadratic expressions from different situations,,,,https://ecampus.idems.international/course/view.php?id=573
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Expressions,Forming Quadratic Expressions by Multiplying 1,numbers-and-algebra,quadratic-expressions-and-equations,quadratic-expressions,forming-quadratic-expressions-by-multiplying-1,numbers-and-algebra/quadratic-expressions-and-equations/forming-quadratic-expressions-by-multiplying-1.pdf,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_forming-quadratic-expressions-by-multiplying-1.pdf,#N/A,#N/A,Form quadratic expressions from different situations,,,,https://ecampus.idems.international/course/view.php?id=574
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Expressions,Forming Quadratic Expressions in Real-Life,numbers-and-algebra,quadratic-expressions-and-equations,quadratic-expressions,forming-quadratic-expressions-by-multiplying-2,numbers-and-algebra/quadratic-expressions-and-equations/forming-quadratic-expressions-by-multiplying-2.pdf,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_forming-quadratic-expressions-by-multiplying-2.pdf,#N/A,#N/A,Derive the quadratic identities from the concept of area,,,,https://ecampus.idems.international/course/view.php?id=574
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Identities,Perfect Squares,numbers-and-algebra,quadratic-expressions-and-equations,quadratic-expressions,forming-quadratic-expressions-in-real-life,numbers-and-algebra/quadratic-expressions-and-equations/forming-quadratic-expressions-in-real-life.pdf,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_forming-quadratic-expressions-in-real-life.pdf,NO,NO,Derive the quadratic identities from the concept of area,,,,https://ecampus.idems.international/course/view.php?id=574
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Identities,Difference of Squares,numbers-and-algebra,quadratic-expressions-and-equations,quadratic-identities,perfect-squares,numbers-and-algebra/quadratic-expressions-and-equations/perfect-squares.pdf,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_perfect-squares.pdf,YES,YES,Apply quadratic identities in numerical cases,,,,https://ecampus.idems.international/course/view.php?id=574
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Identities,Quadratic Identities in Numerical Cases,numbers-and-algebra,quadratic-expressions-and-equations,quadratic-identities,difference-of-squares,numbers-and-algebra/quadratic-expressions-and-equations/difference-of-squares.pdf,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_difference-of-squares.pdf,NO,NO,Factorise quadratic expressions from different situations,,,,https://ecampus.idems.international/course/view.php?id=574
Numbers and Algebra,Quadratic Expressions and Equations,Factorising Quadratics,Factorising Monic Quadratics,numbers-and-algebra,quadratic-expressions-and-equations,quadratic-identities,quadratic-identities-in-numerical-cases,numbers-and-algebra/quadratic-expressions-and-equations/quadratic-identities-in-numerical-cases.pdf,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_quadratic-identities-in-numerical-cases.pdf,YES,YES,Factorise quadratic expressions from different situations,,,,https://ecampus.idems.international/course/view.php?id=574
Numbers and Algebra,Quadratic Expressions and Equations,Factorising Quadratics,Factorising Non-Monic Quadratics,numbers-and-algebra,quadratic-expressions-and-equations,factorising-quadratics,factorising-monic-quadratics,numbers-and-algebra/quadratic-expressions-and-equations/factorising-monic-quadratics.pdf,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_factorising-monic-quadratics.pdf,YES,YES,Form quadratic equations in different situations,,,,https://ecampus.idems.international/course/view.php?id=574
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Equations,Formation of Quadratic Equations,numbers-and-algebra,quadratic-expressions-and-equations,factorising-quadratics,factorising-non-monic-quadratics,numbers-and-algebra/quadratic-expressions-and-equations/factorising-non-monic-quadratics.pdf,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_factorising-non-monic-quadratics.pdf,YES,YES,Solve quadratic equations by factorisation,,,,https://ecampus.idems.international/course/view.php?id=574
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Equations,Solving Quadratic Equations,numbers-and-algebra,quadratic-expressions-and-equations,quadratic-equations,formation-of-quadratic-equations,numbers-and-algebra/quadratic-expressions-and-equations/formation-of-quadratic-equations.pdf,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_formation-of-quadratic-equations.pdf,YES,YES,Apply quadratic equations to real life situations,Explore the use of quadratic equations in real life situations,,,https://ecampus.idems.international/course/view.php?id=574
Numbers and Algebra,Quadratic Expressions and Equations,Quadratic Equations,Quadratic Equations in Real-Life,numbers-and-algebra,quadratic-expressions-and-equations,quadratic-equations,solving-quadratic-equations,numbers-and-algebra/quadratic-expressions-and-equations/solving-quadratic-equations.pdf,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_solving-quadratic-equations.pdf,YES,YES,Determine the centre of enlargement and the linear scale factor for similar figures,Apply similarity and enlargement to real-life situations,Appreciate the use of similarity and enlargement in real-life situations,,https://ecampus.idems.international/course/view.php?id=574
Measurements and Geometry,Similarity and Enlargement,Introduction to Similarity,,numbers-and-algebra,quadratic-expressions-and-equations,quadratic-equations,quadratic-equations-in-real-life,numbers-and-algebra/quadratic-expressions-and-equations/quadratic-equations-in-real-life.pdf,numbers-and-algebra/quadratic-expressions-and-equations/step-by-step-guide_quadratic-equations-in-real-life.pdf,YES,YES,Construct the image of an object under an enlargement given the centre and the linear scale factor,Apply similarity and enlargement to real-life situations,Appreciate the use of similarity and enlargement in real-life situations,,
Measurements and Geometry,Similarity and Enlargement,Enlargements of Objects,Positive Enlargements ,measurements-and-geometry,similarity-and-enlargement,introduction-to-similarity,,measurements-and-geometry/similarity-and-enlargement/introduction-to-similarity.pdf,measurements-and-geometry/similarity-and-enlargement/step-by-step-guide_introduction-to-similarity.pdf,YES,YES,Construct the image of an object under an enlargement given the centre and the linear scale factor,Apply similarity and enlargement to real-life situations,Appreciate the use of similarity and enlargement in real-life situations,,
Measurements and Geometry,Similarity and Enlargement,Enlargements of Objects,Negative Enlargements,measurements-and-geometry,similarity-and-enlargement,enlargements-of-objects,positive-enlargements,measurements-and-geometry/similarity-and-enlargement/positive-enlargements.pdf,measurements-and-geometry/similarity-and-enlargement/step-by-step-guide_positive-enlargements.pdf,YES,YES,Determine the area and volume scale factor of different figures and solids,"Relate linear scale factor, area scale factor, and volume scale factor in enlargements",Apply similarity and enlargement to real-life situations,Appreciate the use of similarity and enlargement in real-life situations,
Measurements and Geometry,Similarity and Enlargement,Scale Factors,Area Scale Factors,measurements-and-geometry,similarity-and-enlargement,enlargements-of-objects,negative-enlargements,measurements-and-geometry/similarity-and-enlargement/negative-enlargements.pdf,measurements-and-geometry/similarity-and-enlargement/step-by-step-guide_negative-enlargements.pdf,YES,YES,Determine the area and volume scale factor of different figures and solids,"Relate linear scale factor, area scale factor, and volume scale factor in enlargements",Apply similarity and enlargement to real-life situations,Appreciate the use of similarity and enlargement in real-life situations,
Measurements and Geometry,Similarity and Enlargement,Scale Factors,Volume Scale Factors,measurements-and-geometry,similarity-and-enlargement,scale-factors,area-scale-factors,measurements-and-geometry/similarity-and-enlargement/area-scale-factors.pdf,measurements-and-geometry/similarity-and-enlargement/step-by-step-guide_area-scale-factors.pdf,YES,YES,Apply similarity and enlargement to real-life situations,Appreciate the use of similarity and enlargement in real-life situations,,,
Measurements and Geometry,Similarity and Enlargement,Similarity and Enlargement in Real-Life,,measurements-and-geometry,similarity-and-enlargement,scale-factors,volume-scale-factors,measurements-and-geometry/similarity-and-enlargement/volume-scale-factors.pdf,measurements-and-geometry/similarity-and-enlargement/step-by-step-guide_volume-scale-factors.pdf,YES,YES,Identify lines of symmetry in plane figures,Determine the properties of reflection in different situations,,,
Measurements and Geometry,Reflection and Congruence,Properties of Symmetry and Reflection,,measurements-and-geometry,similarity-and-enlargement,similarity-and-enlargement-in-real-life,,measurements-and-geometry/similarity-and-enlargement/similarity-and-enlargement-in-real-life.pdf,measurements-and-geometry/similarity-and-enlargement/step-by-step-guide_similarity-and-enlargement-in-real-life.pdf,YES,YES,Draw an image given an object and a mirror line on plane surface and Cartesian plane,,,,
Measurements and Geometry,Reflection and Congruence,Reflecting Objects,,measurements-and-geometry,reflection-and-congruence,properties-of-symmetry-and-reflection,,measurements-and-geometry/reflection-and-congruence/properties-of-symmetry-and-reflection.pdf,measurements-and-geometry/reflection-and-congruence/step-by-step-guide_properties-of-symmetry-and-reflection.pdf,YES,YES,Determine the equation of the mirror line given an object and its image,,,,
Measurements and Geometry,Reflection and Congruence,Equations of Mirror Lines,,measurements-and-geometry,reflection-and-congruence,reflecting-objects,,measurements-and-geometry/reflection-and-congruence/reflecting-objects.pdf,measurements-and-geometry/reflection-and-congruence/step-by-step-guide_reflecting-objects.pdf,YES,YES,Carry out congruence tests for triangles,,,,
Measurements and Geometry,Reflection and Congruence,Congruence in Triangles,,measurements-and-geometry,reflection-and-congruence,equations-of-mirror-lines,,measurements-and-geometry/reflection-and-congruence/equations-of-mirror-lines.pdf,measurements-and-geometry/reflection-and-congruence/step-by-step-guide_equations-of-mirror-lines.pdf,YES,YES,Promote use of reflection and congruence in real-life situations,,,,
Measurements and Geometry,Reflection and Congruence,Reflection and Congruence in Real-Life,,measurements-and-geometry,reflection-and-congruence,congruence-in-triangles,,measurements-and-geometry/reflection-and-congruence/congruence-in-triangles.pdf,measurements-and-geometry/reflection-and-congruence/step-by-step-guide_congruence-in-triangles.pdf,YES,YES,Determine the properties of rotation in different situations,Appreciate the application of rotation in real-life situations,,,
Measurements and Geometry,Rotation,Properties of Rotation,,measurements-and-geometry,reflection-and-congruence,reflection-and-congruence-in-real-life,,measurements-and-geometry/reflection-and-congruence/reflection-and-congruence-in-real-life.pdf,measurements-and-geometry/reflection-and-congruence/step-by-step-guide_reflection-and-congruence-in-real-life.pdf,YES,YES,Rotate an object given the centre and angle of rotation on a plane surface and the Cartesian plane,Determine the centre and angle of rotation given an object and its image,,,
Measurements and Geometry,Rotation,Rotating Objects,,measurements-and-geometry,rotation,properties-of-rotation,,measurements-and-geometry/rotation/properties-of-rotation.pdf,measurements-and-geometry/rotation/step-by-step-guide_properties-of-rotation.pdf,YES,YES,Determine the order of rotational symmetry of plane figures,Appreciate the application of rotation in real-life situations,,,
Measurements and Geometry,Rotation,Rotational Symmetry,Rotational Symmetry of Plane Figures,measurements-and-geometry,rotation,rotating-objects,,measurements-and-geometry/rotation/rotating-objects.pdf,measurements-and-geometry/rotation/step-by-step-guide_rotating-objects.pdf,NO,NO,Determine the axis and order of rotational symmetry in solids,Appreciate the application of rotation in real-life situations,,,
Measurements and Geometry,Rotation,Rotational Symmetry,Rotational Symmetry of Solids,measurements-and-geometry,rotation,rotational-symmetry,rotational-symmetry-of-plane-figures,measurements-and-geometry/rotation/rotational-symmetry-of-plane-figures.pdf,measurements-and-geometry/rotation/step-by-step-guide_rotational-symmetry-of-plane-figures.pdf,YES,YES,Deduce congruence from rotation,Appreciate the application of rotation in real-life situations,,,
Measurements and Geometry,Rotation,Rotation and Congruence,,measurements-and-geometry,rotation,rotational-symmetry,rotational-symmetry-of-solids,measurements-and-geometry/rotation/rotational-symmetry-of-solids.pdf,measurements-and-geometry/rotation/step-by-step-guide_rotational-symmetry-of-solids.pdf,YES,YES,Appreciate the application of rotation in real-life situations,,,,
Measurements and Geometry,Rotation,Rotation in Real-Life,,measurements-and-geometry,rotation,rotation-and-congruence,,measurements-and-geometry/rotation/rotation-and-congruence.pdf,measurements-and-geometry/rotation/step-by-step-guide_rotation-and-congruence.pdf,YES,YES,"Relate the sine, cosine and tangent of acute angles",,,,
Measurements and Geometry,Trigonometry 1,Tangents of Acute Angles,,measurements-and-geometry,rotation,rotation-in-real-life,,measurements-and-geometry/rotation/rotation-in-real-life.pdf,measurements-and-geometry/rotation/step-by-step-guide_rotation-in-real-life.pdf,NO,NO,"Relate the sine, cosine and tangent of acute angles",,,,
Measurements and Geometry,Trigonometry 1,Sines and Cosines of Acute Angles,,measurements-and-geometry,trigonometry-1,tangents-of-acute-angles,,measurements-and-geometry/trigonometry-1/tangents-of-acute-angles.pdf,measurements-and-geometry/trigonometry-1/step-by-step-guide_tangents-of-acute-angles.pdf,YES,YES,Relate sines and cosines of complementary angles,,,,
Measurements and Geometry,Trigonometry 1,Sines and Cosines of Complementary Angles,,measurements-and-geometry,trigonometry-1,sines-and-cosines-of-acute-angles,,measurements-and-geometry/trigonometry-1/sines-and-cosines-of-acute-angles.pdf,measurements-and-geometry/trigonometry-1/step-by-step-guide_sines-and-cosines-of-acute-angles.pdf,YES,YES,"Determine trigonometric ratios of special angles: 30, 45, 60, and 90 degrees using triangles",,,,
Measurements and Geometry,Trigonometry 1,Trigonometric Ratios of Special Angles,"Special Angles: 0, 45, and 90 Degrees",measurements-and-geometry,trigonometry-1,sines-and-cosines-of-complementary-angles,,measurements-and-geometry/trigonometry-1/sines-and-cosines-of-complementary-angles.pdf,measurements-and-geometry/trigonometry-1/step-by-step-guide_sines-and-cosines-of-complementary-angles.pdf,NO,NO,"Determine trigonometric ratios of special angles: 30, 45, 60, and 90 degrees using triangles",,,,
Measurements and Geometry,Trigonometry 1,Trigonometric Ratios of Special Angles,Special Angles: 30 and 60 Degrees,measurements-and-geometry,trigonometry-1,trigonometric-ratios-of-special-angles,special-angles-0-45-and-90-degrees,measurements-and-geometry/trigonometry-1/special-angles-0-45-and-90-degrees.pdf,measurements-and-geometry/trigonometry-1/step-by-step-guide_special-angles-0-45-and-90-degrees.pdf,NO,NO,Determine the trigonometric ratios of acute angles from mathematical tables and calculators,,,,
Measurements and Geometry,Trigonometry 1,Trigonometry Using Tables and Calculators,,measurements-and-geometry,trigonometry-1,trigonometric-ratios-of-special-angles,special-angles-30-and-60-degrees,measurements-and-geometry/trigonometry-1/special-angles-30-and-60-degrees.pdf,measurements-and-geometry/trigonometry-1/step-by-step-guide_special-angles-30-and-60-degrees.pdf,NO,NO,Apply trigonometric ratios to angles of elevation and depression,,,,
Measurements and Geometry,Trigonometry 1,Angles of Elevation and Depression,Angles of Elevation,measurements-and-geometry,trigonometry-1,trigonometry-using-tables-and-calculators,,measurements-and-geometry/trigonometry-1/trigonometry-using-tables-and-calculators.pdf,measurements-and-geometry/trigonometry-1/step-by-step-guide_trigonometry-using-tables-and-calculators.pdf,YES,YES,Apply trigonometric ratios to angles of elevation and depression,,,,
Measurements and Geometry,Trigonometry 1,Angles of Elevation and Depression,Angles of Depression,measurements-and-geometry,trigonometry-1,angles-of-elevation-and-depression,angles-of-elevation,measurements-and-geometry/trigonometry-1/angles-of-elevation.pdf,measurements-and-geometry/trigonometry-1/step-by-step-guide_angles-of-elevation.pdf,YES,YES,Reflect on the use of trigonometry in real-life situations,,,,
Measurements and Geometry,Trigonometry 1,Trigonometry in Real-Life,,measurements-and-geometry,trigonometry-1,angles-of-elevation-and-depression,angles-of-depression,measurements-and-geometry/trigonometry-1/angles-of-depression.pdf,measurements-and-geometry/trigonometry-1/step-by-step-guide_angles-of-depression.pdf,NO,NO,Derive the formula for the area of a triangle given two sides and an included angle,Work out the area of a triangle given two sides and an included angle,,,
Measurements and Geometry,Area of Polygons,Area of Triangles,Using Two Sides and an Angle,measurements-and-geometry,trigonometry-1,trigonometry-in-real-life,,measurements-and-geometry/trigonometry-1/trigonometry-in-real-life.pdf,measurements-and-geometry/trigonometry-1/step-by-step-guide_trigonometry-in-real-life.pdf,NO,NO,Determine the area of a triangle using Heron's formula,,,,
Measurements and Geometry,Area of Polygons,Area of Triangles,Heron's Formula,measurements-and-geometry,area-of-polygons,area-of-triangles,using-two-sides-and-an-angle,measurements-and-geometry/area-of-polygons/using-two-sides-and-an-angle.pdf,measurements-and-geometry/area-of-polygons/step-by-step-guide_using-two-sides-and-an-angle.pdf,YES,YES,Determine the area of quadrilaterals in different situations,Explore the area of polygons as used in real-life situations,,,
Measurements and Geometry,Area of Polygons,Area of Quadrilaterals,Area of Squares and Rectangles,measurements-and-geometry,area-of-polygons,area-of-triangles,herons-formula,measurements-and-geometry/area-of-polygons/herons-formula.pdf,measurements-and-geometry/area-of-polygons/step-by-step-guide_herons-formula.pdf,NO,NO,Determine the area of quadrilaterals in different situations,Explore the area of polygons as used in real-life situations,,,
Measurements and Geometry,Area of Polygons,Area of Quadrilaterals,Area of Parallelograms,measurements-and-geometry,area-of-polygons,area-of-quadrilaterals,area-of-squares-and-rectangles,measurements-and-geometry/area-of-polygons/area-of-squares-and-rectangles.pdf,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-squares-and-rectangles.pdf,NO,NO,Determine the area of quadrilaterals in different situations,Explore the area of polygons as used in real-life situations,,,
Measurements and Geometry,Area of Polygons,Area of Quadrilaterals,Area of Rhombuses,measurements-and-geometry,area-of-polygons,area-of-quadrilaterals,area-of-parallelograms,measurements-and-geometry/area-of-polygons/area-of-parallelograms.pdf,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-parallelograms.pdf,YES,YES,Determine the area of quadrilaterals in different situations,Explore the area of polygons as used in real-life situations,,,
Measurements and Geometry,Area of Polygons,Area of Quadrilaterals,Area of Trapeziums,measurements-and-geometry,area-of-polygons,area-of-quadrilaterals,area-of-rhombuses,measurements-and-geometry/area-of-polygons/area-of-rhombuses.pdf,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-rhombuses.pdf,YES,YES,Determine the area of quadrilaterals in different situations,Explore the area of polygons as used in real-life situations,,,
