Chapter,Section,Subsection,Subsubsection,Chapter Filecase,Section Filecase,Subsection Filecase,Subsubsection Filecase,Lesson Plan Path,Step By Step Guide Path,Lesson Plan Exists,Step By Step Guide Exists,LO 1,LO 2,LO 3,LO 4,Course URL
Measurements and Geometry,Area of Polygons,Area of Quadrilaterals,Area of Kites,measurements-and-geometry,area-of-polygons,area-of-quadrilaterals,area-of-trapeziums,measurements-and-geometry/area-of-polygons/area-of-trapeziums.pdf,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-trapeziums.pdf,YES,YES,Work out the area of regular heptagon and octagon,Explore the area of polygons as used in real-life situations,,,
Measurements and Geometry,Area of Polygons,Area of Regular Polygons,Area of Heptagons,measurements-and-geometry,area-of-polygons,area-of-quadrilaterals,area-of-kites,measurements-and-geometry/area-of-polygons/area-of-kites.pdf,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-kites.pdf,YES,YES,Work out the area of regular heptagon and octagon,Explore the area of polygons as used in real-life situations,,,
Measurements and Geometry,Area of Polygons,Area of Regular Polygons,Area of Octogons,measurements-and-geometry,area-of-polygons,area-of-regular-polygons,area-of-heptagons,measurements-and-geometry/area-of-polygons/area-of-heptagons.pdf,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-heptagons.pdf,YES,YES,,,,,
Measurements and Geometry,Area of Polygons,Area of Regular Polygons,Area of Nonagons,measurements-and-geometry,area-of-polygons,area-of-regular-polygons,area-of-octogons,measurements-and-geometry/area-of-polygons/area-of-octogons.pdf,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-octogons.pdf,NO,NO,,,,,
Measurements and Geometry,Area of Polygons,Area of Regular Polygons,Area of Decagons,measurements-and-geometry,area-of-polygons,area-of-regular-polygons,area-of-nonagons,measurements-and-geometry/area-of-polygons/area-of-nonagons.pdf,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-nonagons.pdf,EXTENSION,EXTENSION,Determine the area of irregular polygons in different situations,Explore the area of polygons as used in real-life situations,,,
Measurements and Geometry,Area of Polygons,Area of Irregular Polygons,,measurements-and-geometry,area-of-polygons,area-of-regular-polygons,area-of-decagons,measurements-and-geometry/area-of-polygons/area-of-decagons.pdf,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-decagons.pdf,EXTENSION,EXTENSION,Explore the area of polygons as used in real-life situations,,,,
Measurements and Geometry,Area of Polygons,Area of Polygons in Real-Life,,measurements-and-geometry,area-of-polygons,area-of-irregular-polygons,,measurements-and-geometry/area-of-polygons/area-of-irregular-polygons.pdf,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-irregular-polygons.pdf,YES,YES,Determine the area of an annulus in different situations,Apply the area of a part of a circle in real-life situations,Explore the use of the area of a part of a circle in real-life situations,,
Measurements and Geometry,Area of a Part of a Circle,Area of an Annulus,,measurements-and-geometry,area-of-polygons,area-of-polygons-in-real-life,,measurements-and-geometry/area-of-polygons/area-of-polygons-in-real-life.pdf,measurements-and-geometry/area-of-polygons/step-by-step-guide_area-of-polygons-in-real-life.pdf,NO,NO,Work out the area of a sector of a circle in real-life situations,Apply the area of a part of a circle in real-life situations,Explore the use of the area of a part of a circle in real-life situations,,
Measurements and Geometry,Area of a Part of a Circle,Area of Sectors,,measurements-and-geometry,area-of-a-part-of-a-circle,area-of-an-annulus,,measurements-and-geometry/area-of-a-part-of-a-circle/area-of-an-annulus.pdf,measurements-and-geometry/area-of-a-part-of-a-circle/step-by-step-guide_area-of-an-annulus.pdf,YES,YES,Determine the area of an annular sector in different situations,Apply the area of a part of a circle in real-life situations,Explore the use of the area of a part of a circle in real-life situations,,
Measurements and Geometry,Area of a Part of a Circle,Area of Annular Sectors,,measurements-and-geometry,area-of-a-part-of-a-circle,area-of-sectors,,measurements-and-geometry/area-of-a-part-of-a-circle/area-of-sectors.pdf,measurements-and-geometry/area-of-a-part-of-a-circle/step-by-step-guide_area-of-sectors.pdf,YES,YES,Work out the area of a segment of a circle,Apply the area of a part of a circle in real-life situations,Explore the use of the area of a part of a circle in real-life situations,,
Measurements and Geometry,Area of a Part of a Circle,Area of Segments,,measurements-and-geometry,area-of-a-part-of-a-circle,area-of-annular-sectors,,measurements-and-geometry/area-of-a-part-of-a-circle/area-of-annular-sectors.pdf,measurements-and-geometry/area-of-a-part-of-a-circle/step-by-step-guide_area-of-annular-sectors.pdf,YES,YES,Determine the area of common region between two intersecting circles,Apply the area of a part of a circle in real-life situations,Explore the use of the area of a part of a circle in real-life situations,,
Measurements and Geometry,Area of a Part of a Circle,Area of Common Regions Between Circles,,measurements-and-geometry,area-of-a-part-of-a-circle,area-of-segments,,measurements-and-geometry/area-of-a-part-of-a-circle/area-of-segments.pdf,measurements-and-geometry/area-of-a-part-of-a-circle/step-by-step-guide_area-of-segments.pdf,YES,YES,Apply the area of a part of a circle in real-life situations,Explore the use of the area of a part of a circle in real-life situations,,,
Measurements and Geometry,Area of a Part of a Circle,Area of a Part of a Circle in Real-Life,,measurements-and-geometry,area-of-a-part-of-a-circle,area-of-common-regions-between-circles,,measurements-and-geometry/area-of-a-part-of-a-circle/area-of-common-regions-between-circles.pdf,measurements-and-geometry/area-of-a-part-of-a-circle/step-by-step-guide_area-of-common-regions-between-circles.pdf,YES,YES,"Determine the surface area of prisms, pyramids, cones, frustums and spheres",Explore the use of the surface area and volume of solids in real-life situations,,,
Measurements and Geometry,Surface Area,Surface Area of Prisms,,measurements-and-geometry,area-of-a-part-of-a-circle,area-of-a-part-of-a-circle-in-real-life,,measurements-and-geometry/area-of-a-part-of-a-circle/area-of-a-part-of-a-circle-in-real-life.pdf,measurements-and-geometry/area-of-a-part-of-a-circle/step-by-step-guide_area-of-a-part-of-a-circle-in-real-life.pdf,NO,NO,,,,,
Measurements and Geometry,Surface Area,Surface Area of Cubes and Cuboids,,measurements-and-geometry,surface-area,surface-area-of-cubes-and-cuboids,,measurements-and-geometry/surface-area/surface-area-of-cubes-and-cuboids.pdf,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-of-cubes-and-cuboids.pdf,EXTENSION,EXTENSION,"Determine the surface area of prisms, pyramids, cones, frustums and spheres",Explore the use of the surface area and volume of solids in real-life situations,,,
Measurements and Geometry,Surface Area,Surface Area of Cylinders,,measurements-and-geometry,surface-area,surface-area-of-prisms,,measurements-and-geometry/surface-area/surface-area-of-prisms.pdf,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-of-prisms.pdf,NO,NO,"Determine the surface area of prisms, pyramids, cones, frustums and spheres",Explore the use of the surface area and volume of solids in real-life situations,,,
Measurements and Geometry,Surface Area,Surface Area of Pyramids,,measurements-and-geometry,surface-area,surface-area-of-cylinders,,measurements-and-geometry/surface-area/surface-area-of-cylinders.pdf,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-of-cylinders.pdf,EXTENSION,EXTENSION,"Determine the surface area of prisms, pyramids, cones, frustums and spheres",Explore the use of the surface area and volume of solids in real-life situations,,,
Measurements and Geometry,Surface Area,Surface Area of Cones,,measurements-and-geometry,surface-area,surface-area-of-pyramids,,measurements-and-geometry/surface-area/surface-area-of-pyramids.pdf,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-of-pyramids.pdf,YES,YES,"Determine the surface area of prisms, pyramids, cones, frustums and spheres",Explore the use of the surface area and volume of solids in real-life situations,,,
Measurements and Geometry,Surface Area,Surface Area of Frustums,,measurements-and-geometry,surface-area,surface-area-of-cones,,measurements-and-geometry/surface-area/surface-area-of-cones.pdf,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-of-cones.pdf,YES,YES,"Determine the surface area of prisms, pyramids, cones, frustums and spheres",Explore the use of the surface area and volume of solids in real-life situations,,,
Measurements and Geometry,Surface Area,Surface Area of Spheres,,measurements-and-geometry,surface-area,surface-area-of-frustums,,measurements-and-geometry/surface-area/surface-area-of-frustums.pdf,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-of-frustums.pdf,YES,YES,Calculate the surface area of composite solids,Explore the use of the surface area and volume of solids in real-life situations,,,
Measurements and Geometry,Surface Area,Surface Area of Composite Solids,,measurements-and-geometry,surface-area,surface-area-of-spheres,,measurements-and-geometry/surface-area/surface-area-of-spheres.pdf,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-of-spheres.pdf,YES,YES,Explore the use of the surface area and volume of solids in real-life situations,,,,
Measurements and Geometry,Surface Area,Surface Area in Real-Life,,measurements-and-geometry,surface-area,surface-area-of-composite-solids,,measurements-and-geometry/surface-area/surface-area-of-composite-solids.pdf,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-of-composite-solids.pdf,YES,YES,"Calculate the volume of prisms, pyramids, cones, frustums and spheres",Explore the use of the surface area and volume of solids in real-life situations,,,
Measurements and Geometry,Volume,Volume of Prisms,,measurements-and-geometry,surface-area,surface-area-in-real-life,,measurements-and-geometry/surface-area/surface-area-in-real-life.pdf,measurements-and-geometry/surface-area/step-by-step-guide_surface-area-in-real-life.pdf,NO,NO,,,,,
Measurements and Geometry,Volume,Volume of Cubes and Cuboids,,measurements-and-geometry,volume,volume-of-cubes-and-cuboids,,measurements-and-geometry/volume/volume-of-cubes-and-cuboids.pdf,measurements-and-geometry/volume/step-by-step-guide_volume-of-cubes-and-cuboids.pdf,EXTENSION,EXTENSION,,,,,
Measurements and Geometry,Volume,Volume of Cylinders,,measurements-and-geometry,volume,volume-of-prisms,,measurements-and-geometry/volume/volume-of-prisms.pdf,measurements-and-geometry/volume/step-by-step-guide_volume-of-prisms.pdf,NO,NO,"Calculate the volume of prisms, pyramids, cones, frustums and spheres",Explore the use of the surface area and volume of solids in real-life situations,,,
Measurements and Geometry,Volume,Volume of Pyramids,,measurements-and-geometry,volume,volume-of-cylinders,,measurements-and-geometry/volume/volume-of-cylinders.pdf,measurements-and-geometry/volume/step-by-step-guide_volume-of-cylinders.pdf,EXTENSION,EXTENSION,"Calculate the volume of prisms, pyramids, cones, frustums and spheres",Explore the use of the surface area and volume of solids in real-life situations,,,
Measurements and Geometry,Volume,Volume of Cones,,measurements-and-geometry,volume,volume-of-pyramids,,measurements-and-geometry/volume/volume-of-pyramids.pdf,measurements-and-geometry/volume/step-by-step-guide_volume-of-pyramids.pdf,YES,YES,"Calculate the volume of prisms, pyramids, cones, frustums and spheres",Explore the use of the surface area and volume of solids in real-life situations,,,
Measurements and Geometry,Volume,Volume of Frustums,,measurements-and-geometry,volume,volume-of-cones,,measurements-and-geometry/volume/volume-of-cones.pdf,measurements-and-geometry/volume/step-by-step-guide_volume-of-cones.pdf,YES,YES,"Calculate the volume of prisms, pyramids, cones, frustums and spheres",Explore the use of the surface area and volume of solids in real-life situations,,,
Measurements and Geometry,Volume,Volume of Spheres,,measurements-and-geometry,volume,volume-of-frustums,,measurements-and-geometry/volume/volume-of-frustums.pdf,measurements-and-geometry/volume/step-by-step-guide_volume-of-frustums.pdf,YES,YES,Determine the volume of composite solids,Explore the use of the surface area and volume of solids in real-life situations,,,
Measurements and Geometry,Volume,Volume of Composite Solids,,measurements-and-geometry,volume,volume-of-spheres,,measurements-and-geometry/volume/volume-of-spheres.pdf,measurements-and-geometry/volume/step-by-step-guide_volume-of-spheres.pdf,YES,YES,Explore the use of the surface area and volume of solids in real-life situations,,,,
Measurements and Geometry,Volume,Volume in Real-Life,,measurements-and-geometry,volume,volume-of-composite-solids,,measurements-and-geometry/volume/volume-of-composite-solids.pdf,measurements-and-geometry/volume/step-by-step-guide_volume-of-composite-solids.pdf,YES,YES,Explain vector and scalar quantities with illustrations,Use vector notations in different ways,,,
Measurements and Geometry,Vectors 1,Vector and Scalar Quantities,,measurements-and-geometry,volume,volume-in-real-life,,measurements-and-geometry/volume/volume-in-real-life.pdf,measurements-and-geometry/volume/step-by-step-guide_volume-in-real-life.pdf,NO,NO,Represent vectors geometrically in different situations,,,,
Measurements and Geometry,Vectors 1,Representing Vectors,Representing Vectors Geometrically,measurements-and-geometry,vectors-1,vector-and-scalar-quantities,,measurements-and-geometry/vectors-1/vector-and-scalar-quantities.pdf,measurements-and-geometry/vectors-1/step-by-step-guide_vector-and-scalar-quantities.pdf,NO,NO,Determine column vectors in different situations,Determine position vectors in different situations,,,
Measurements and Geometry,Vectors 1,Representing Vectors,Column Vectors,measurements-and-geometry,vectors-1,representing-vectors,representing-vectors-geometrically,measurements-and-geometry/vectors-1/representing-vectors-geometrically.pdf,measurements-and-geometry/vectors-1/step-by-step-guide_representing-vectors-geometrically.pdf,NO,NO,Determine column vectors in different situations,Determine position vectors in different situations,,,
Measurements and Geometry,Vectors 1,Representing Vectors,Position Vectors,measurements-and-geometry,vectors-1,representing-vectors,column-vectors,measurements-and-geometry/vectors-1/column-vectors.pdf,measurements-and-geometry/vectors-1/step-by-step-guide_column-vectors.pdf,YES,YES,Work out magnitude of a vector in different situations,,,,
Measurements and Geometry,Vectors 1,Magnitudes of Vectors,,measurements-and-geometry,vectors-1,representing-vectors,position-vectors,measurements-and-geometry/vectors-1/position-vectors.pdf,measurements-and-geometry/vectors-1/step-by-step-guide_position-vectors.pdf,YES,YES,Determine the midpoint of a vector in different situations,,,,
Measurements and Geometry,Vectors 1,Midpoints of Vectors,,measurements-and-geometry,vectors-1,magnitudes-of-vectors,,measurements-and-geometry/vectors-1/magnitudes-of-vectors.pdf,measurements-and-geometry/vectors-1/step-by-step-guide_magnitudes-of-vectors.pdf,YES,YES,Add vectors in different situations,,,,
Measurements and Geometry,Vectors 1,Manipulating Vectors,Adding Vectors,measurements-and-geometry,vectors-1,midpoints-of-vectors,,measurements-and-geometry/vectors-1/midpoints-of-vectors.pdf,measurements-and-geometry/vectors-1/step-by-step-guide_midpoints-of-vectors.pdf,YES,YES,Multiply vectors by scalars,,,,
Measurements and Geometry,Vectors 1,Manipulating Vectors,Multiplying Vectors by Scalars,measurements-and-geometry,vectors-1,manipulating-vectors,adding-vectors,measurements-and-geometry/vectors-1/adding-vectors.pdf,measurements-and-geometry/vectors-1/step-by-step-guide_adding-vectors.pdf,NO,NO,Determine translation vector as a transformation,,,,
Measurements and Geometry,Vectors 1,Manipulating Vectors,Translating Vectors,measurements-and-geometry,vectors-1,manipulating-vectors,multiplying-vectors-by-scalars,measurements-and-geometry/vectors-1/multiplying-vectors-by-scalars.pdf,measurements-and-geometry/vectors-1/step-by-step-guide_multiplying-vectors-by-scalars.pdf,YES,YES,Identify equivalent vectors in different situations,,,,
Measurements and Geometry,Vectors 1,Manipulating Vectors,Equivalent Vectors,measurements-and-geometry,vectors-1,manipulating-vectors,translating-vectors,measurements-and-geometry/vectors-1/translating-vectors.pdf,measurements-and-geometry/vectors-1/step-by-step-guide_translating-vectors.pdf,YES,YES,Appreciate the use of vectors in real-life situations,,,,
Measurements and Geometry,Vectors 1,Vectors in Real-Life,,measurements-and-geometry,vectors-1,manipulating-vectors,equivalent-vectors,measurements-and-geometry/vectors-1/equivalent-vectors.pdf,measurements-and-geometry/vectors-1/step-by-step-guide_equivalent-vectors.pdf,YES,YES,"Explain the terms distance, displacement, speed, velocity and acceleration in real-life situations",,,,
Measurements and Geometry,Linear Motion,Distance and Displacement,,measurements-and-geometry,vectors-1,vectors-in-real-life,,measurements-and-geometry/vectors-1/vectors-in-real-life.pdf,measurements-and-geometry/vectors-1/step-by-step-guide_vectors-in-real-life.pdf,NO,NO,"Explain the terms distance, displacement, speed, velocity and acceleration in real-life situations",Determine velocity and acceleration in different situations,,,
Measurements and Geometry,Linear Motion,Speed and Velocity,,measurements-and-geometry,linear-motion,distance-and-displacement,,measurements-and-geometry/linear-motion/distance-and-displacement.pdf,measurements-and-geometry/linear-motion/step-by-step-guide_distance-and-displacement.pdf,NO,NO,Determine relative speed of two moving bodies in different situations,,,,
Measurements and Geometry,Linear Motion,Relative Speeds,Relative Speeds of Objects Moving in the Same Direction,measurements-and-geometry,linear-motion,speed-and-velocity,,measurements-and-geometry/linear-motion/speed-and-velocity.pdf,measurements-and-geometry/linear-motion/step-by-step-guide_speed-and-velocity.pdf,YES,YES,Determine relative speed of two moving bodies in different situations,,,,
Measurements and Geometry,Linear Motion,Relative Speeds,Relative Speeds of Objects Moving in Different Directions,measurements-and-geometry,linear-motion,relative-speeds,relative-speeds-of-objects-moving-in-the-same-direction,measurements-and-geometry/linear-motion/relative-speeds-of-objects-moving-in-the-same-direction.pdf,measurements-and-geometry/linear-motion/step-by-step-guide_relative-speeds-of-objects-moving-in-the-same-direction.pdf,YES,YES,"Explain the terms distance, displacement, speed, velocity and acceleration in real-life situations",Determine velocity and acceleration in different situations,,,
Measurements and Geometry,Linear Motion,Acceleration,,measurements-and-geometry,linear-motion,relative-speeds,relative-speeds-of-objects-moving-in-different-directions,measurements-and-geometry/linear-motion/relative-speeds-of-objects-moving-in-different-directions.pdf,measurements-and-geometry/linear-motion/step-by-step-guide_relative-speeds-of-objects-moving-in-different-directions.pdf,YES,YES,Draw a displacement-time graph of different situations,Interpret displacement-time graph in different situations,,,
Measurements and Geometry,Linear Motion,Displacement-Time Graphs,,measurements-and-geometry,linear-motion,acceleration,,measurements-and-geometry/linear-motion/acceleration.pdf,measurements-and-geometry/linear-motion/step-by-step-guide_acceleration.pdf,YES,YES,Draw a velocity-time graph from given tables in different situations,Interpret velocity-time graph in different situations,,,
Measurements and Geometry,Linear Motion,Velocity-Time Graphs,,measurements-and-geometry,linear-motion,displacement-time-graphs,,measurements-and-geometry/linear-motion/displacement-time-graphs.pdf,measurements-and-geometry/linear-motion/step-by-step-guide_displacement-time-graphs.pdf,NO,NO,Appreciate use of linear motion in real-life situations,,,,
Measurements and Geometry,Linear Motion,Linear Motion in Real-Life,,measurements-and-geometry,linear-motion,velocity-time-graphs,,measurements-and-geometry/linear-motion/velocity-time-graphs.pdf,measurements-and-geometry/linear-motion/step-by-step-guide_velocity-time-graphs.pdf,YES,YES,Collect data from real-life sources,"Promote data collection, organisation and representation for informed decision making",,,
Statistics and Probability,Statistics 1,Introduction to Statistics,Sources of Data,measurements-and-geometry,linear-motion,linear-motion-in-real-life,,measurements-and-geometry/linear-motion/linear-motion-in-real-life.pdf,measurements-and-geometry/linear-motion/step-by-step-guide_linear-motion-in-real-life.pdf,NO,NO,Collect data from real-life sources,"Promote data collection, organisation and representation for informed decision making",,,
Statistics and Probability,Statistics 1,Introduction to Statistics,Methods of Data Collection,statistics-and-probability,statistics-1,introduction-to-statistics,sources-of-data,statistics-and-probability/statistics-1/sources-of-data.pdf,statistics-and-probability/statistics-1/step-by-step-guide_sources-of-data.pdf,YES,YES,Draw a frequency distribution table for grouped and ungrouped data,,,,
Statistics and Probability,Statistics 1,Ungrouped Data,Frequency Distribution Tables,statistics-and-probability,statistics-1,introduction-to-statistics,methods-of-data-collection,statistics-and-probability/statistics-1/methods-of-data-collection.pdf,statistics-and-probability/statistics-1/step-by-step-guide_methods-of-data-collection.pdf,YES,YES,"Determine mean, mode and median of grouped and ungrouped data",,,,
Statistics and Probability,Statistics 1,Ungrouped Data,Mean,statistics-and-probability,statistics-1,ungrouped-data,frequency-distribution-tables,statistics-and-probability/statistics-1/frequency-distribution-tables.pdf,statistics-and-probability/statistics-1/step-by-step-guide_frequency-distribution-tables.pdf,YES,YES,"Determine mean, mode and median of grouped and ungrouped data",,,,
Statistics and Probability,Statistics 1,Ungrouped Data,Median,statistics-and-probability,statistics-1,ungrouped-data,mean,statistics-and-probability/statistics-1/mean.pdf,statistics-and-probability/statistics-1/step-by-step-guide_mean.pdf,YES,YES,"Determine mean, mode and median of grouped and ungrouped data",,,,
Statistics and Probability,Statistics 1,Ungrouped Data,Mode,statistics-and-probability,statistics-1,ungrouped-data,median,statistics-and-probability/statistics-1/median.pdf,statistics-and-probability/statistics-1/step-by-step-guide_median.pdf,YES,YES,Draw a frequency distribution table for grouped and ungrouped data,,,,
Statistics and Probability,Statistics 1,Grouped Data,Frequency Distribution Tables Grouped,statistics-and-probability,statistics-1,ungrouped-data,mode,statistics-and-probability/statistics-1/mode.pdf,statistics-and-probability/statistics-1/step-by-step-guide_mode.pdf,YES,YES,"Determine mean, mode and median of grouped and ungrouped data",,,,
Statistics and Probability,Statistics 1,Grouped Data,Mean Grouped,statistics-and-probability,statistics-1,grouped-data,frequency-distribution-tables-grouped,statistics-and-probability/statistics-1/frequency-distribution-tables-grouped.pdf,statistics-and-probability/statistics-1/step-by-step-guide_frequency-distribution-tables-grouped.pdf,YES,YES,"Determine mean, mode and median of grouped and ungrouped data",,,,
Statistics and Probability,Statistics 1,Grouped Data,Median Grouped,statistics-and-probability,statistics-1,grouped-data,mean-grouped,statistics-and-probability/statistics-1/mean-grouped.pdf,statistics-and-probability/statistics-1/step-by-step-guide_mean-grouped.pdf,YES,YES,"Determine mean, mode and median of grouped and ungrouped data",,,,
Statistics and Probability,Statistics 1,Grouped Data,Mode Grouped,statistics-and-probability,statistics-1,grouped-data,median-grouped,statistics-and-probability/statistics-1/median-grouped.pdf,statistics-and-probability/statistics-1/step-by-step-guide_median-grouped.pdf,YES,YES,Represent data using histograms and frequency polygons,Interpret data from histograms and frequency polygons,,,
Statistics and Probability,Statistics 1,Histograms and Frequency Polygons,,statistics-and-probability,statistics-1,grouped-data,mode-grouped,statistics-and-probability/statistics-1/mode-grouped.pdf,statistics-and-probability/statistics-1/step-by-step-guide_mode-grouped.pdf,YES,YES,Represent data using histograms and frequency polygons,Interpret data from histograms and frequency polygons,"Promote data collection, organisation and representation for informed decision making",,
Statistics and Probability,Statistics 1,Interpretation of Data,,statistics-and-probability,statistics-1,histograms-and-frequency-polygons,,statistics-and-probability/statistics-1/histograms-and-frequency-polygons.pdf,statistics-and-probability/statistics-1/step-by-step-guide_histograms-and-frequency-polygons.pdf,YES,YES,Collect data from real-life sources,"Promote data collection, organisation and representation for informed decision making",,,
Statistics and Probability,Statistics 1,Statistics in Real-Life,,statistics-and-probability,statistics-1,interpretation-of-data,,statistics-and-probability/statistics-1/interpretation-of-data.pdf,statistics-and-probability/statistics-1/step-by-step-guide_interpretation-of-data.pdf,YES,YES,Perform experiments involving probabilities in different situations,Identify the range of probability in different situations,Appreciate the application of probability in real-life situations,,
Statistics and Probability,Probability 1,Introduction to Probability,,statistics-and-probability,statistics-1,statistics-in-real-life,,statistics-and-probability/statistics-1/statistics-in-real-life.pdf,statistics-and-probability/statistics-1/step-by-step-guide_statistics-in-real-life.pdf,YES,YES,Generate probability space of different events,,,,
Statistics and Probability,Probability 1,Probability Spaces,,statistics-and-probability,probability-1,introduction-to-probability,,statistics-and-probability/probability-1/introduction-to-probability.pdf,statistics-and-probability/probability-1/step-by-step-guide_introduction-to-probability.pdf,YES,YES,Determine the probability of mutually exclusive and independent events,,,,
Statistics and Probability,Probability 1,Mutually Exclusive Events,,statistics-and-probability,probability-1,probability-spaces,,statistics-and-probability/probability-1/probability-spaces.pdf,statistics-and-probability/probability-1/step-by-step-guide_probability-spaces.pdf,NO,NO,Determine the probability of mutually exclusive and independent events,Determine the probability of independent events using tree diagrams,,,
Statistics and Probability,Probability 1,Independent Events,,statistics-and-probability,probability-1,mutually-exclusive-events,,statistics-and-probability/probability-1/mutually-exclusive-events.pdf,statistics-and-probability/probability-1/step-by-step-guide_mutually-exclusive-events.pdf,YES,YES,Apply the laws of probability in different situations,,,,
Statistics and Probability,Probability 1,Laws of Probability,Addition Rule,statistics-and-probability,probability-1,independent-events,,statistics-and-probability/probability-1/independent-events.pdf,statistics-and-probability/probability-1/step-by-step-guide_independent-events.pdf,YES,YES,Apply the laws of probability in different situations,,,,
Statistics and Probability,Probability 1,Laws of Probability,Multiplication Rule,statistics-and-probability,probability-1,laws-of-probability,addition-rule,statistics-and-probability/probability-1/addition-rule.pdf,statistics-and-probability/probability-1/step-by-step-guide_addition-rule.pdf,YES,YES,Determine the probability of independent events using tree diagrams,,,,
Statistics and Probability,Probability 1,Probability Using Tree Diagrams,,statistics-and-probability,probability-1,laws-of-probability,multiplication-rule,statistics-and-probability/probability-1/multiplication-rule.pdf,statistics-and-probability/probability-1/step-by-step-guide_multiplication-rule.pdf,NO,NO,Identify the range of probability in different situations,Appreciate the application of probability in real-life situations,,,
Statistics and Probability,Probability 1,Probability in Real-Life,,statistics-and-probability,probability-1,probability-using-tree-diagrams,,statistics-and-probability/probability-1/probability-using-tree-diagrams.pdf,statistics-and-probability/probability-1/step-by-step-guide_probability-using-tree-diagrams.pdf,YES,YES,,,,,
,,,,statistics-and-probability,probability-1,probability-in-real-life,,,,,,,,,,